file	section	line	unique_doc	detail	line_content
openapi\generator-api.v1.yaml	3.1	62	guideV2.1+design+plan	guideV2.1[LL+1] design[LL+1] plan[LL+1]	
openapi\generator-api.v1.yaml	4.4	158	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/scenarios`：场景定义和输入约束。
openapi\generator-api.v1.yaml	4.4	158	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/scenarios`：场景定义和输入约束。
openapi\generator-api.v1.yaml	4.4	154	guideV2.1	guideV2.1[LL+1]	- `POST /api/v1/generation-runs`：按 plan/version 异步启动，返回 runId。
openapi\generator-api.v1.yaml	4.2	134	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	156	guideV2.1	guideV2.1[LL+1]	- `POST /api/v1/generation-runs/{id}/cancel`：幂等取消。
openapi\generator-api.v1.yaml	4.4	153	guideV2.1	guideV2.1[LL+1]	
openapi\generator-api.v1.yaml	4.4	157	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/generation-runs/{id}/artifacts`：文件、checksum、清单。
openapi\generator-api.v1.yaml	4.4	158	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/scenarios`：场景定义和输入约束。
openapi\generator-api.v1.yaml	4.4	153	guideV2.1	guideV2.1[LL+1]	
openapi\generator-api.v1.yaml	4.2	133	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	133	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	154	guideV2.1	guideV2.1[LL+1]	- `POST /api/v1/generation-runs`：按 plan/version 异步启动，返回 runId。
openapi\generator-api.v1.yaml	4.2	138	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	134	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	155	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/generation-runs/{id}`：状态、进度、计数、失败摘要。
openapi\generator-api.v1.yaml	4.2	134	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	138	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	156	guideV2.1	guideV2.1[LL+1]	- `POST /api/v1/generation-runs/{id}/cancel`：幂等取消。
openapi\generator-api.v1.yaml	4.2	135	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	157	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/generation-runs/{id}/artifacts`：文件、checksum、清单。
openapi\generator-api.v1.yaml	4.4	158	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/scenarios`：场景定义和输入约束。
openapi\generator-api.v1.yaml	4.2	132	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	158	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/scenarios`：场景定义和输入约束。
openapi\generator-api.v1.yaml	4.4	158	guideV2.1	guideV2.1[LL+1]	- `GET /api/v1/scenarios`：场景定义和输入约束。
openapi\generator-api.v1.yaml	4.2	132	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	304	guideV2.3	guideV2.3[LL+1]	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。
openapi\generator-api.v1.yaml	4.4	153	guideV2.1	guideV2.1[LL+1]	
openapi\generator-api.v1.yaml	4.2	133	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	133	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	133	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	133	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.4	153	guideV2.1	guideV2.1[LL+1]	
openapi\generator-api.v1.yaml	4.4	153	guideV2.1	guideV2.1[LL+1]	
openapi\generator-api.v1.yaml	4.2	134	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
openapi\generator-api.v1.yaml	4.2	134	guideV2.1+design	guideV2.1[LL+1] design[LL+1]	
