file	section	line	class	resolved_doc	evidence
openapi\generator-api.v1.yaml	3.1	62	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 4 个）
openapi\generator-api.v1.yaml	4.4	158	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	158	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=2 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	154	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	134	V-C		token 在任何候选文档的 L/L+1 都未命中（tokens=清单）
openapi\generator-api.v1.yaml	4.4	156	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	153	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	157	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	158	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	153	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	133	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	133	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	154	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	138	V-C		token 在任何候选文档的 L/L+1 都未命中（tokens=进度）
openapi\generator-api.v1.yaml	4.2	134	V-C		token 在任何候选文档的 L/L+1 都未命中（tokens=进度）
openapi\generator-api.v1.yaml	4.4	155	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	134	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.2	138	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	156	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	135	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	157	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	158	V-C		token 在任何候选文档的 L/L+1 都未命中（tokens=凭据只存引用）
openapi\generator-api.v1.yaml	4.2	132	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	158	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	158	V-C		token 在任何候选文档的 L/L+1 都未命中（tokens=PUT /api/v1/targets,PUT /api/v1/targets/{id}）
openapi\generator-api.v1.yaml	4.2	132	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	304	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	153	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.2	133	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.2	133	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.2	133	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	133	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=1 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	153	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=2 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.4	153	V-B	docs/项目完整实施指导书 V2.1.md	token 命中=2 个（候选文档 3 个）
openapi\generator-api.v1.yaml	4.2	134	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.2	134	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.2	134	V-C		无 token 可核对，候选文档 3 个
openapi\generator-api.v1.yaml	4.4	153	V-C		无 token 可核对，候选文档 3 个
