file	line	row_id	family	expected_outcome	expected_reason_class	actual_outcome	actual_reason	verdict	join
b1a-envelope-vocab.jsonl	1	b1a-msg-0001	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	2	b1a-msg-0002	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	3	b1a-msg-0003	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	4	b1a-msg-0004	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	5	b1a-msg-0005	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	6	b1a-msg-0006	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	7	b1a-msg-0007	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	8	b1a-msg-0008	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	9	b1a-msg-0009	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	10	b1a-msg-0010	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	11	b1a-msg-0011	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	12	b1a-msg-0012	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	13	b1a-msg-0013	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	14	b1a-msg-0014	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	15	b1a-msg-0015	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	16	b1a-msg-0016	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	17	b1a-msg-0017	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	18	b1a-msg-0018	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	19	b1a-msg-0019	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	20	b1a-msg-0020	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	21	b1a-msg-0021	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	22	b1a-msg-0022	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	23	b1a-msg-0023	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	24	b1a-msg-0024	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	25	b1a-msg-0025	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	26	b1a-msg-0026	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	27	b1a-msg-0027	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
b1a-envelope-vocab.jsonl	28	b1a-msg-0028	B1A-信封异构	ACCEPT	经 fixture-b 画像 eventTypeMapping/fieldMapping 归一后入库，产出可对账指标	QUARANTINE	缺失必要字段: event_id	结果不符	id
