file	section	old_line	v1_at_L	v1_at_Lplus1	v23_hits_for_Lplus1
openapi\generator-api.v1.yaml	3.1	62	| 参考商城 | `reference-mall` / 8090 | 用户、商品、分类、库存、购物车、订单、支付、退款、Outbox 事件 | 分析任务、Spark/Hive、生成场景、直接写分析平台 |	| 模拟数据生成器 | `synthetic-data-generator` / 8092 或 CLI | 固定 seed 的场景生成、负载控制、脏数据策略、运行报告 | 直接操作商城数据库；依赖商城内部 Service/Mapper；写平台业务库；触发平台流水线 |	75
openapi\generator-api.v1.yaml	4.4	158	- `GET /api/v1/scenarios`：场景定义和输入约束。	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。	304
openapi\generator-api.v1.yaml	4.4	158	- `GET /api/v1/scenarios`：场景定义和输入约束。	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。	304
openapi\generator-api.v1.yaml	4.4	154	- `POST /api/v1/generation-runs`：按 plan/version 异步启动，返回 runId。	- `GET /api/v1/generation-runs/{id}`：状态、进度、计数、失败摘要。	300
openapi\generator-api.v1.yaml	4.2	134	| `generation_plan` | plan_id、mode、target_id、scenario、seed、start/end、event_count、rate_per_second、dirty_profile、output_uri、version | 运行只引用不可变版本 |	| `generation_run` | run_id、plan_version、target_version、status、started/finished、success_count、failed_count、checksum、error、cancel_requested | 异步运行，可查询和取消 |	280
openapi\generator-api.v1.yaml	4.4	156	- `POST /api/v1/generation-runs/{id}/cancel`：幂等取消。	- `GET /api/v1/generation-runs/{id}/artifacts`：文件、checksum、清单。	302
openapi\generator-api.v1.yaml	4.4	153		- `POST /api/v1/generation-runs`：按 plan/version 异步启动，返回 runId。	299
openapi\generator-api.v1.yaml	4.4	157	- `GET /api/v1/generation-runs/{id}/artifacts`：文件、checksum、清单。	- `GET /api/v1/scenarios`：场景定义和输入约束。	303
openapi\generator-api.v1.yaml	4.4	158	- `GET /api/v1/scenarios`：场景定义和输入约束。	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。	304
openapi\generator-api.v1.yaml	4.4	153		- `POST /api/v1/generation-runs`：按 plan/version 异步启动，返回 runId。	299
openapi\generator-api.v1.yaml	4.2	133	| `generator_target` | id、name、adapter_type、base_url、credential_ref、config_json、config_version、status、test_environment、capabilities | 凭据只存引用；每次运行冻结版本 |	| `generation_plan` | plan_id、mode、target_id、scenario、seed、start/end、event_count、rate_per_second、dirty_profile、output_uri、version | 运行只引用不可变版本 |	279
openapi\generator-api.v1.yaml	4.2	133	| `generator_target` | id、name、adapter_type、base_url、credential_ref、config_json、config_version、status、test_environment、capabilities | 凭据只存引用；每次运行冻结版本 |	| `generation_plan` | plan_id、mode、target_id、scenario、seed、start/end、event_count、rate_per_second、dirty_profile、output_uri、version | 运行只引用不可变版本 |	279
openapi\generator-api.v1.yaml	4.4	154	- `POST /api/v1/generation-runs`：按 plan/version 异步启动，返回 runId。	- `GET /api/v1/generation-runs/{id}`：状态、进度、计数、失败摘要。	300
openapi\generator-api.v1.yaml	4.2	138		状态机：`PENDING -> RUNNING -> SUCCESS/FAILED/CANCELLED`。相同 `plan_version + seed + time_window` 应可复现；运行中修改计划不会影响已启动任务。	284
openapi\generator-api.v1.yaml	4.2	134	| `generation_plan` | plan_id、mode、target_id、scenario、seed、start/end、event_count、rate_per_second、dirty_profile、output_uri、version | 运行只引用不可变版本 |	| `generation_run` | run_id、plan_version、target_version、status、started/finished、success_count、failed_count、checksum、error、cancel_requested | 异步运行，可查询和取消 |	280
openapi\generator-api.v1.yaml	4.4	155	- `GET /api/v1/generation-runs/{id}`：状态、进度、计数、失败摘要。	- `POST /api/v1/generation-runs/{id}/cancel`：幂等取消。	301
openapi\generator-api.v1.yaml	4.2	134	| `generation_plan` | plan_id、mode、target_id、scenario、seed、start/end、event_count、rate_per_second、dirty_profile、output_uri、version | 运行只引用不可变版本 |	| `generation_run` | run_id、plan_version、target_version、status、started/finished、success_count、failed_count、checksum、error、cancel_requested | 异步运行，可查询和取消 |	280
openapi\generator-api.v1.yaml	4.2	138		状态机：`PENDING -> RUNNING -> SUCCESS/FAILED/CANCELLED`。相同 `plan_version + seed + time_window` 应可复现；运行中修改计划不会影响已启动任务。	284
openapi\generator-api.v1.yaml	4.4	156	- `POST /api/v1/generation-runs/{id}/cancel`：幂等取消。	- `GET /api/v1/generation-runs/{id}/artifacts`：文件、checksum、清单。	302
openapi\generator-api.v1.yaml	4.2	135	| `generation_run` | run_id、plan_version、target_version、status、started/finished、success_count、failed_count、checksum、error、cancel_requested | 异步运行，可查询和取消 |	| `generation_artifact` | run_id、uri、checksum、bytes、record_count、min/max_event_time、schema_version | 用于可复现和对账 |	281
openapi\generator-api.v1.yaml	4.4	157	- `GET /api/v1/generation-runs/{id}/artifacts`：文件、checksum、清单。	- `GET /api/v1/scenarios`：场景定义和输入约束。	303
openapi\generator-api.v1.yaml	4.4	158	- `GET /api/v1/scenarios`：场景定义和输入约束。	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。	304
openapi\generator-api.v1.yaml	4.2	132	|---|---|---|	| `generator_target` | id、name、adapter_type、base_url、credential_ref、config_json、config_version、status、test_environment、capabilities | 凭据只存引用；每次运行冻结版本 |	278
openapi\generator-api.v1.yaml	4.4	158	- `GET /api/v1/scenarios`：场景定义和输入约束。	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。	304
openapi\generator-api.v1.yaml	4.4	158	- `GET /api/v1/scenarios`：场景定义和输入约束。	- `POST/PUT/GET /api/v1/targets` 与 `POST /targets/{id}/test`：目标商城配置和连通性检查。	304
